"","Diet","Age_wk","emmean","SE","df","lower.CL","upper.CL"
"1","MR","1",5.37110411054557,0.178481917077633,65.3099562953184,5.0146831756849,5.72752504540624
"2","MR+A","1",5.3422046568416,0.208675207370093,65.7789484120314,4.92554502773521,5.75886428594799
"3","MR","5",5.39987561177219,0.158370224111016,64.6924759564526,5.08355992823427,5.71619129531011
"4","MR+A","5",5.43729515263714,0.159320807231623,65.1214158979663,5.11912077496197,5.7554695303123
"5","MR","7",5.34794972267118,0.20749456404448,65.6362413619663,4.93363060040464,5.76226884493772
"6","MR+A","7",5.60594642197024,0.159320807231623,65.1214158979663,5.28777204429508,5.92412079964541
"7","MR","9",5.32487224400937,0.178081587895723,65.0703852460693,4.96922604691568,5.68051844110305
"8","MR+A","9",5.28956922431716,0.159332390778371,65.1282166719083,4.97137234221797,5.60776610641634
"9","MR","11",5.57046841807118,0.178081587895723,65.0703852460696,5.21482222097749,5.92611461516487
"10","MR+A","11",5.53126440933657,0.179419821018084,65.5879536813508,5.17299916797409,5.88952965069905
"11","MR","13",4.89604998004162,0.256536140183218,65.7865293638529,4.38382802671983,5.40827193336342
"12","MR+A","13",5.22471070675533,0.14457157363792,64.6768048048014,4.93595398201696,5.51346743149369
