"Diet","Age_wk","emmean","SE","df","lower.CL","upper.CL"
"MR","1",3.73713391413767,0.236562574121799,66.2694244063781,3.26485733475997,4.20941049351537
"MR+A","1",4.01741937944495,0.275252849572521,67.504390887133,3.46808784255758,4.56675091633233
"MR","5",4.04088051679326,0.210475435305518,64.7402000219614,3.62050006538629,4.46126096820024
"MR+A","5",3.90982132232095,0.211397912563266,65.839415958431,3.48773255625288,4.33191008838903
"MR","7",3.73684741182696,0.236561474956374,66.0374441179394,3.26454218666009,4.20915263699383
"MR+A","7",4.1125545948164,0.211397912563266,65.8394159584312,3.69046582874833,4.53464336088447
"MR","9",3.99211067162502,0.236561474956374,66.0374441179394,3.51980544645815,4.46441589679189
"MR+A","9",3.89306446070444,0.192136906195919,64.7537793501741,3.50931289927102,4.27681602213785
"MR","11",4.02181989227274,0.210475435305518,64.7402000219612,3.60143944086577,4.44220034367972
"MR+A","11",3.83098916966254,0.211407917792245,66.0534563190279,3.40890601893471,4.25307232039037
"MR","13",3.52212028779946,0.337886875113313,67.598398514243,2.84780498817622,4.1964355874227
"MR+A","13",3.97851601246063,0.237335323073624,67.0733936501254,3.5048022531717,4.45222977174957
