"Genus","Mean_RelAbundance"
"Parafannyhessea",4.60115695140979
"Corynebacterium",2.11939771690284
"Streptococcus",1.48642341419274
"Acinetobacter",1.3447179439804
"Psychrobacter",1.25540249775238
"Alistipes",1.24435830861236
"Klebsiella",1.20026044564428
"Neisseria",1.13037789510115
"Bifidobacterium",0.931910008650186
"Brachybacterium",0.887963984654233
"Afipia",0.887680558924007
"Ralstonia",0.873104473076298
"Pseudoclavibacter",0.779266352216179
"Halopseudomonas",0.777731862051126
"Bosea",0.769477836505765
"Bacteroides",0.671295363272255
"Phocaeicola",0.625901749223969
"Leptospira",0.602688330438814
"Gulosibacter",0.561905354777806
"Collinsella",0.518291108253157
